variant,platform,step,median_ns,is_warmup
baseline,JVM,0,6881550,1
baseline,JVM,1,46850,1
baseline,JVM,2,31450,1
baseline,JVM,3,31700,1
baseline,JVM,4,30900,1
baseline,JVM,5,30800,1
baseline,JVM,6,30700,1
baseline,JVM,7,31450,1
baseline,JVM,8,32200,1
baseline,JVM,9,31300,1
baseline,JVM,10,30750,1
baseline,JVM,11,30850,1
baseline,JVM,12,30900,1
baseline,JVM,13,30950,1
baseline,JVM,14,30750,1
baseline,JVM,15,30800,1
baseline,JVM,16,30950,1
baseline,JVM,17,32200,1
baseline,JVM,18,30850,1
baseline,JVM,19,36550,1
baseline,JVM,20,30900,0
baseline,JVM,21,30800,0
baseline,JVM,22,30650,0
baseline,JVM,23,32950,0
baseline,JVM,24,33200,0
baseline,JVM,25,32600,0
baseline,JVM,26,31200,0
baseline,JVM,27,30900,0
baseline,JVM,28,31250,0
baseline,JVM,29,30750,0
baseline,JVM,30,30900,0
baseline,JVM,31,30800,0
baseline,JVM,32,31050,0
baseline,JVM,33,30700,0
baseline,JVM,34,31550,0
baseline,JVM,35,30650,0
baseline,JVM,36,30550,0
baseline,JVM,37,30600,0
baseline,JVM,38,30850,0
baseline,JVM,39,30700,0
baseline,JVM,40,30600,0
baseline,JVM,41,30900,0
baseline,JVM,42,30900,0
baseline,JVM,43,31550,0
baseline,JVM,44,30650,0
baseline,JVM,45,30900,0
baseline,JVM,46,30650,0
baseline,JVM,47,30750,0
baseline,JVM,48,30700,0
baseline,JVM,49,30450,0
baseline,JVM,50,30600,0
baseline,JVM,51,31350,0
baseline,JVM,52,30800,0
baseline,JVM,53,30800,0
baseline,JVM,54,30650,0
baseline,JVM,55,30650,0
baseline,JVM,56,30500,0
baseline,JVM,57,44900,0
baseline,JVM,58,31000,0
baseline,JVM,59,30400,0
baseline,JVM,60,31300,0
baseline,JVM,61,30300,0
baseline,JVM,62,30900,0
baseline,JVM,63,31650,0
baseline,JVM,64,30800,0
baseline,JVM,65,30650,0
baseline,JVM,66,30500,0
baseline,JVM,67,30550,0
baseline,JVM,68,31150,0
baseline,JVM,69,30250,0
baseline,JVM,70,30200,0
