variant,platform,step,median_ns,is_warmup
baseline,JVM,0,7542200,1
baseline,JVM,1,48300,1
baseline,JVM,2,32000,1
baseline,JVM,3,32800,1
baseline,JVM,4,54100,1
baseline,JVM,5,31300,1
baseline,JVM,6,47300,1
baseline,JVM,7,66200,1
baseline,JVM,8,32900,1
baseline,JVM,9,32100,1
baseline,JVM,10,31400,1
baseline,JVM,11,31300,1
baseline,JVM,12,31500,1
baseline,JVM,13,31500,1
baseline,JVM,14,31500,1
baseline,JVM,15,31400,1
baseline,JVM,16,31500,1
baseline,JVM,17,34000,1
baseline,JVM,18,31100,1
baseline,JVM,19,37700,1
baseline,JVM,20,31500,0
baseline,JVM,21,31200,0
baseline,JVM,22,31600,0
baseline,JVM,23,33600,0
baseline,JVM,24,31300,0
baseline,JVM,25,32000,0
baseline,JVM,26,31900,0
baseline,JVM,27,31300,0
baseline,JVM,28,36900,0
baseline,JVM,29,31400,0
baseline,JVM,30,31100,0
baseline,JVM,31,35000,0
baseline,JVM,32,31600,0
baseline,JVM,33,31600,0
baseline,JVM,34,32300,0
baseline,JVM,35,31200,0
baseline,JVM,36,31200,0
baseline,JVM,37,31300,0
baseline,JVM,38,54800,0
baseline,JVM,39,52800,0
baseline,JVM,40,32200,0
baseline,JVM,41,31500,0
baseline,JVM,42,31800,0
baseline,JVM,43,32100,0
baseline,JVM,44,31300,0
baseline,JVM,45,37700,0
baseline,JVM,46,31200,0
baseline,JVM,47,31600,0
baseline,JVM,48,31600,0
baseline,JVM,49,31100,0
k-perf,JVM,0,40911000,1
k-perf,JVM,1,8105900,1
k-perf,JVM,2,5621700,1
k-perf,JVM,3,5815800,1
k-perf,JVM,4,3326500,1
k-perf,JVM,5,3233900,1
k-perf,JVM,6,2946300,1
k-perf,JVM,7,5435800,1
k-perf,JVM,8,2764100,1
k-perf,JVM,9,2510400,1
k-perf,JVM,10,2457000,1
k-perf,JVM,11,2609400,1
k-perf,JVM,12,2427200,1
k-perf,JVM,13,2626900,1
k-perf,JVM,14,2394600,1
k-perf,JVM,15,2498100,1
k-perf,JVM,16,2487400,1
k-perf,JVM,17,2853100,1
k-perf,JVM,18,2856200,1
k-perf,JVM,19,2674400,1
k-perf,JVM,20,2726400,0
k-perf,JVM,21,2626600,0
k-perf,JVM,22,2681100,0
k-perf,JVM,23,2719200,0
k-perf,JVM,24,2734200,0
k-perf,JVM,25,2787900,0
k-perf,JVM,26,3784800,0
k-perf,JVM,27,2249100,0
k-perf,JVM,28,2251600,0
k-perf,JVM,29,2241500,0
k-perf,JVM,30,2222500,0
k-perf,JVM,31,2200300,0
k-perf,JVM,32,2352000,0
k-perf,JVM,33,2226200,0
k-perf,JVM,34,2315300,0
k-perf,JVM,35,2221900,0
k-perf,JVM,36,2624500,0
k-perf,JVM,37,2409500,0
k-perf,JVM,38,2365600,0
k-perf,JVM,39,2235900,0
k-perf,JVM,40,2212600,0
k-perf,JVM,41,2277800,0
k-perf,JVM,42,2305800,0
k-perf,JVM,43,2227600,0
k-perf,JVM,44,2319900,0
k-perf,JVM,45,2285700,0
k-perf,JVM,46,2405400,0
k-perf,JVM,47,2697100,0
k-perf,JVM,48,2703800,0
k-perf,JVM,49,2737300,0
baseline,JS,0,2814400,1
baseline,JS,1,615300,1
baseline,JS,2,467500,1
baseline,JS,3,306600,1
baseline,JS,4,306100,1
baseline,JS,5,327600,1
baseline,JS,6,268300,1
baseline,JS,7,305700,1
baseline,JS,8,336600,1
baseline,JS,9,333700,1
baseline,JS,10,261700,1
baseline,JS,11,293600,1
baseline,JS,12,198700,1
baseline,JS,13,317900,1
baseline,JS,14,283600,1
baseline,JS,15,373700,1
baseline,JS,16,289600,1
baseline,JS,17,245300,1
baseline,JS,18,210500,1
baseline,JS,19,269100,1
baseline,JS,20,253900,0
