variant,platform,step,median_ns,is_warmup
baseline,JVM,0,7098800,1
baseline,JVM,1,46100,1
baseline,JVM,2,31750,1
baseline,JVM,3,52300,1
baseline,JVM,4,31550,1
baseline,JVM,5,32500,1
baseline,JVM,6,31350,1
baseline,JVM,7,58200,1
baseline,JVM,8,58450,1
baseline,JVM,9,31450,1
baseline,JVM,10,30850,1
baseline,JVM,11,30850,1
baseline,JVM,12,45650,1
baseline,JVM,13,31350,1
baseline,JVM,14,30900,1
baseline,JVM,15,30850,1
baseline,JVM,16,52250,1
baseline,JVM,17,32500,1
baseline,JVM,18,30550,1
baseline,JVM,19,64450,1
baseline,JVM,20,37800,0
baseline,JVM,21,30550,0
baseline,JVM,22,30700,0
baseline,JVM,23,32700,0
baseline,JVM,24,30650,0
baseline,JVM,25,31350,0
baseline,JVM,26,52250,0
baseline,JVM,27,30900,0
baseline,JVM,28,46500,0
baseline,JVM,29,31150,0
baseline,JVM,30,30700,0
baseline,JVM,31,53050,0
baseline,JVM,32,30750,0
baseline,JVM,33,30750,0
baseline,JVM,34,31700,0
baseline,JVM,35,30900,0
baseline,JVM,36,30650,0
baseline,JVM,37,30650,0
baseline,JVM,38,58350,0
baseline,JVM,39,46600,0
baseline,JVM,40,30650,0
baseline,JVM,41,38800,0
baseline,JVM,42,30700,0
baseline,JVM,43,31400,0
baseline,JVM,44,30500,0
baseline,JVM,45,30550,0
baseline,JVM,46,30950,0
baseline,JVM,47,30650,0
baseline,JVM,48,30450,0
baseline,JVM,49,30400,0
baseline,JVM,50,30500,0
baseline,JVM,51,31550,0
baseline,JVM,52,49800,0
baseline,JVM,53,30750,0
baseline,JVM,54,30350,0
baseline,JVM,55,30450,0
baseline,JVM,56,30750,0
baseline,JVM,57,44950,0
baseline,JVM,58,53750,0
baseline,JVM,59,37250,0
baseline,JVM,60,30950,0
baseline,JVM,61,30250,0
baseline,JVM,62,30550,0
baseline,JVM,63,59050,0
baseline,JVM,64,52950,0
baseline,JVM,65,38050,0
baseline,JVM,66,30550,0
baseline,JVM,67,31250,0
baseline,JVM,68,31150,0
baseline,JVM,69,30150,0
baseline,JVM,70,30300,0
baseline,JVM,71,30250,0
baseline,JVM,72,53750,0
baseline,JVM,73,36750,0
baseline,JVM,74,30150,0
baseline,JVM,75,30150,0
baseline,JVM,76,30200,0
baseline,JVM,77,31000,0
baseline,JVM,78,30150,0
baseline,JVM,79,30300,0
baseline,JVM,80,30100,0
baseline,JVM,81,58550,0
baseline,JVM,82,30550,0
baseline,JVM,83,30050,0
baseline,JVM,84,30200,0
baseline,JVM,85,63500,0
baseline,JVM,86,63800,0
baseline,JVM,87,38100,0
baseline,JVM,88,30550,0
baseline,JVM,89,30450,0
baseline,JVM,90,30100,0
baseline,JVM,91,30300,0
baseline,JVM,92,30050,0
baseline,JVM,93,30100,0
baseline,JVM,94,31100,0
baseline,JVM,95,30150,0
baseline,JVM,96,58050,0
baseline,JVM,97,44950,0
baseline,JVM,98,31050,0
baseline,JVM,99,30800,0
k-perf,JVM,0,39089550,1
k-perf,JVM,1,7664700,1
k-perf,JVM,2,5736700,1
k-perf,JVM,3,5681750,1
k-perf,JVM,4,3512950,1
k-perf,JVM,5,3471950,1
k-perf,JVM,6,3157250,1
k-perf,JVM,7,5138500,1
k-perf,JVM,8,2559900,1
k-perf,JVM,9,2514700,1
k-perf,JVM,10,2462850,1
k-perf,JVM,11,2590900,1
k-perf,JVM,12,2558600,1
k-perf,JVM,13,2437150,1
k-perf,JVM,14,2488750,1
k-perf,JVM,15,2445150,1
k-perf,JVM,16,2583500,1
k-perf,JVM,17,3062900,1
k-perf,JVM,18,3134600,1
k-perf,JVM,19,2919700,1
k-perf,JVM,20,2760150,0
k-perf,JVM,21,2756850,0
k-perf,JVM,22,2764200,0
k-perf,JVM,23,2813350,0
k-perf,JVM,24,2778650,0
k-perf,JVM,25,2719600,0
k-perf,JVM,26,3827950,0
k-perf,JVM,27,2223200,0
k-perf,JVM,28,2277100,0
k-perf,JVM,29,2235600,0
k-perf,JVM,30,2217350,0
k-perf,JVM,31,2201200,0
k-perf,JVM,32,2238800,0
k-perf,JVM,33,2245250,0
k-perf,JVM,34,2288200,0
k-perf,JVM,35,2290650,0
k-perf,JVM,36,2685850,0
k-perf,JVM,37,2424850,0
k-perf,JVM,38,2303750,0
k-perf,JVM,39,2298150,0
k-perf,JVM,40,2258200,0
k-perf,JVM,41,2272150,0
k-perf,JVM,42,2276650,0
k-perf,JVM,43,2234050,0
k-perf,JVM,44,2290600,0
k-perf,JVM,45,2241550,0
k-perf,JVM,46,2309600,0
k-perf,JVM,47,2793100,0
k-perf,JVM,48,2803150,0
k-perf,JVM,49,2823650,0
k-perf,JVM,50,2845600,0
k-perf,JVM,51,2777100,0
k-perf,JVM,52,2814750,0
k-perf,JVM,53,2782200,0
k-perf,JVM,54,2813600,0
k-perf,JVM,55,2824850,0
k-perf,JVM,56,2755400,0
k-perf,JVM,57,2828450,0
k-perf,JVM,58,2780800,0
k-perf,JVM,59,2839400,0
k-perf,JVM,60,2802250,0
k-perf,JVM,61,2862050,0
k-perf,JVM,62,2796800,0
k-perf,JVM,63,2825000,0
k-perf,JVM,64,2838750,0
k-perf,JVM,65,2805050,0
k-perf,JVM,66,2792450,0
k-perf,JVM,67,2811150,0
k-perf,JVM,68,2896300,0
k-perf,JVM,69,2846450,0
k-perf,JVM,70,2851000,0
k-perf,JVM,71,2784650,0
k-perf,JVM,72,2762600,0
k-perf,JVM,73,2814200,0
k-perf,JVM,74,2872250,0
k-perf,JVM,75,2928050,0
k-perf,JVM,76,2884450,0
k-perf,JVM,77,2871350,0
k-perf,JVM,78,3053250,0
k-perf,JVM,79,3025750,0
k-perf,JVM,80,2901350,0
k-perf,JVM,81,2862100,0
k-perf,JVM,82,2925150,0
k-perf,JVM,83,2981600,0
k-perf,JVM,84,2821500,0
k-perf,JVM,85,2987550,0
k-perf,JVM,86,3104150,0
k-perf,JVM,87,2803800,0
k-perf,JVM,88,2893400,0
k-perf,JVM,89,3005750,0
k-perf,JVM,90,2858850,0
k-perf,JVM,91,3042900,0
k-perf,JVM,92,3084300,0
k-perf,JVM,93,2867750,0
k-perf,JVM,94,2911650,0
k-perf,JVM,95,2886600,0
k-perf,JVM,96,2882700,0
k-perf,JVM,97,2964850,0
k-perf,JVM,98,2849900,0
k-perf,JVM,99,2924550,0
baseline,JS,0,3045050,1
baseline,JS,1,669200,1
baseline,JS,2,584800,1
baseline,JS,3,277450,1
baseline,JS,4,280350,1
baseline,JS,5,260950,1
baseline,JS,6,256500,1
baseline,JS,7,267950,1
baseline,JS,8,263650,1
baseline,JS,9,264200,1
baseline,JS,10,266950,1
baseline,JS,11,270600,1
baseline,JS,12,202400,1
baseline,JS,13,380500,1
baseline,JS,14,312550,1
baseline,JS,15,264900,1
baseline,JS,16,274700,1
baseline,JS,17,286550,1
baseline,JS,18,187350,1
baseline,JS,19,265500,1
baseline,JS,20,254950,0
baseline,JS,21,261550,0
baseline,JS,22,314350,0
baseline,JS,23,311300,0
baseline,JS,24,289350,0
baseline,JS,25,218150,0
baseline,JS,26,346750,0
baseline,JS,27,275500,0
baseline,JS,28,256650,0
baseline,JS,29,249450,0
baseline,JS,30,246900,0
baseline,JS,31,197050,0
baseline,JS,32,305850,0
baseline,JS,33,251150,0
baseline,JS,34,335900,0
baseline,JS,35,256850,0
baseline,JS,36,251800,0
baseline,JS,37,242800,0
baseline,JS,38,234800,0
baseline,JS,39,245150,0
baseline,JS,40,245450,0
baseline,JS,41,240600,0
baseline,JS,42,233350,0
baseline,JS,43,239400,0
baseline,JS,44,178200,0
baseline,JS,45,234700,0
baseline,JS,46,233750,0
baseline,JS,47,241300,0
baseline,JS,48,308800,0
baseline,JS,49,275050,0
baseline,JS,50,198250,0
baseline,JS,51,274000,0
baseline,JS,52,252700,0
baseline,JS,53,243250,0
baseline,JS,54,256550,0
baseline,JS,55,244150,0
baseline,JS,56,246000,0
baseline,JS,57,168450,0
baseline,JS,58,235100,0
baseline,JS,59,242000,0
baseline,JS,60,243900,0
baseline,JS,61,245000,0
baseline,JS,62,238700,0
baseline,JS,63,172400,0
baseline,JS,64,308850,0
baseline,JS,65,314300,0
baseline,JS,66,300950,0
baseline,JS,67,277550,0
baseline,JS,68,301200,0
baseline,JS,69,241050,0
baseline,JS,70,242750,0
baseline,JS,71,241300,0
baseline,JS,72,240700,0
baseline,JS,73,259200,0
baseline,JS,74,244350,0
baseline,JS,75,245100,0
baseline,JS,76,167400,0
baseline,JS,77,233900,0
baseline,JS,78,235250,0
baseline,JS,79,232050,0
baseline,JS,80,229650,0
baseline,JS,81,227100,0
baseline,JS,82,191600,0
baseline,JS,83,265500,0
baseline,JS,84,238400,0
baseline,JS,85,280250,0
baseline,JS,86,265800,0
baseline,JS,87,239450,0
baseline,JS,88,238600,0
baseline,JS,89,173900,0
baseline,JS,90,232850,0
baseline,JS,91,250850,0
baseline,JS,92,245600,0
baseline,JS,93,242600,0
baseline,JS,94,235100,0
baseline,JS,95,169350,0
baseline,JS,96,227600,0
baseline,JS,97,227250,0
baseline,JS,98,233050,0
baseline,JS,99,241500,0
k-perf,JS,0,76459200,1
k-perf,JS,1,46504100,1
k-perf,JS,2,44938050,1
k-perf,JS,3,43894400,1
k-perf,JS,4,43716400,1
k-perf,JS,5,43952700,1
k-perf,JS,6,45282250,1
k-perf,JS,7,44460600,1
k-perf,JS,8,45662450,1
k-perf,JS,9,43777800,1
k-perf,JS,10,45613500,1
k-perf,JS,11,44282500,1
k-perf,JS,12,43541050,1
k-perf,JS,13,43638150,1
k-perf,JS,14,45385600,1
k-perf,JS,15,43472250,1
k-perf,JS,16,44265750,1
k-perf,JS,17,44084500,1
k-perf,JS,18,44039300,1
k-perf,JS,19,43426700,1
k-perf,JS,20,43866500,0
k-perf,JS,21,44004200,0
k-perf,JS,22,46725350,0
k-perf,JS,23,43887500,0
k-perf,JS,24,41385800,0
k-perf,JS,25,41672800,0
k-perf,JS,26,41321300,0
k-perf,JS,27,41487850,0
k-perf,JS,28,43795950,0
k-perf,JS,29,43110250,0
k-perf,JS,30,45185600,0
k-perf,JS,31,42182000,0
