variant,platform,step,median_ns,is_warmup
baseline,JVM,0,7329500,1
baseline,JVM,1,48000,1
baseline,JVM,2,31950,1
baseline,JVM,3,32400,1
baseline,JVM,4,31350,1
baseline,JVM,5,32500,1
baseline,JVM,6,31050,1
baseline,JVM,7,55500,1
baseline,JVM,8,67500,1
baseline,JVM,9,33600,1
baseline,JVM,10,31850,1
baseline,JVM,11,31450,1
baseline,JVM,12,45800,1
baseline,JVM,13,31650,1
baseline,JVM,14,39200,1
baseline,JVM,15,31400,1
baseline,JVM,16,31950,1
baseline,JVM,17,46400,1
baseline,JVM,18,31450,1
baseline,JVM,19,59200,1
baseline,JVM,20,31350,0
baseline,JVM,21,31400,0
baseline,JVM,22,31350,0
baseline,JVM,23,32850,0
baseline,JVM,24,31400,0
baseline,JVM,25,32500,0
baseline,JVM,26,51400,0
baseline,JVM,27,31300,0
baseline,JVM,28,32000,0
baseline,JVM,29,31700,0
baseline,JVM,30,47300,0
baseline,JVM,31,53050,0
baseline,JVM,32,31700,0
baseline,JVM,33,35500,0
baseline,JVM,34,32950,0
baseline,JVM,35,31450,0
baseline,JVM,36,31200,0
baseline,JVM,37,30850,0
baseline,JVM,38,31650,0
baseline,JVM,39,49950,0
baseline,JVM,40,31300,0
baseline,JVM,41,31600,0
baseline,JVM,42,33350,0
baseline,JVM,43,32600,0
baseline,JVM,44,31100,0
baseline,JVM,45,31250,0
baseline,JVM,46,31450,0
baseline,JVM,47,31400,0
baseline,JVM,48,31350,0
baseline,JVM,49,31250,0
baseline,JVM,50,31650,0
baseline,JVM,51,32150,0
baseline,JVM,52,34450,0
baseline,JVM,53,31150,0
baseline,JVM,54,30900,0
baseline,JVM,55,30900,0
baseline,JVM,56,31450,0
baseline,JVM,57,47950,0
baseline,JVM,58,43800,0
baseline,JVM,59,31000,0
baseline,JVM,60,32000,0
baseline,JVM,61,31250,0
baseline,JVM,62,31300,0
baseline,JVM,63,42500,0
baseline,JVM,64,45350,0
baseline,JVM,65,31200,0
baseline,JVM,66,31400,0
baseline,JVM,67,31250,0
baseline,JVM,68,32650,0
baseline,JVM,69,31050,0
baseline,JVM,70,30950,0
baseline,JVM,71,31300,0
baseline,JVM,72,49900,0
baseline,JVM,73,30900,0
baseline,JVM,74,30750,0
baseline,JVM,75,30950,0
baseline,JVM,76,30850,0
baseline,JVM,77,31600,0
baseline,JVM,78,30900,0
baseline,JVM,79,30800,0
baseline,JVM,80,30700,0
baseline,JVM,81,40150,0
baseline,JVM,82,31100,0
baseline,JVM,83,30950,0
baseline,JVM,84,30800,0
baseline,JVM,85,44950,0
baseline,JVM,86,32450,0
baseline,JVM,87,35550,0
baseline,JVM,88,31100,0
baseline,JVM,89,31100,0
baseline,JVM,90,30900,0
baseline,JVM,91,30700,0
baseline,JVM,92,30950,0
baseline,JVM,93,30700,0
baseline,JVM,94,31700,0
baseline,JVM,95,30900,0
baseline,JVM,96,40900,0
baseline,JVM,97,31100,0
baseline,JVM,98,32550,0
baseline,JVM,99,31550,0
k-perf,JVM,0,40906650,1
k-perf,JVM,1,8782100,1
k-perf,JVM,2,5901450,1
k-perf,JVM,3,5314450,1
k-perf,JVM,4,3408850,1
k-perf,JVM,5,2950000,1
